,name,details
119,"株式会社青葉宅建
代表者: 早野　剛","〒241-0821
横浜市旭区二俣川１丁目４５－５２
TEL: 045-744-5781
HP: https://aobatk.life
Mail: info@aobatk.com"
120,"株式会社　あおば不動産販売
代表者: 會田　和宏","〒225-0024
横浜市青葉区市ケ尾町１１６８－１カーサーウチノ２０７号
TEL: 045-507-3932"
121,"株式会社　青栁地建横浜
代表者: 青栁　実","〒220-0073
横浜市西区岡野１丁目１２－１８
TEL: 045-628-9461
Mail: aoyagi@a-c-y.jp"
122,"株式会社アカシャ
代表者: 山岡　孝雄","〒248-0033
鎌倉市腰越２丁目１４－１２
TEL: 0467-38-1666"
123,"赤塚トラスト不動産　株式会社
代表者: 赤塚　法明","〒251-0055
藤沢市南藤沢１７－６フォーラムビル５階
TEL: 0466-86-7508"
124,"株式会社　暁不動産
代表者: 李　東昊","〒231-0033
横浜市中区長者町４丁目１１－７長者町齋藤ビル５０２号
TEL: 045-326-6741
HP: http://akatsuki-r.jp/
Mail: info@akatsuki-r.jp"
125,"株式会社　あかつき不動産サービス
代表者: 藤田　勝寛","〒220-0011
横浜市西区高島２丁目５－５－３０３
TEL: 045-548-6934"
126,"株式会社　ＡＫＡＲＩ
代表者: 洞内　勝信","〒231-0014
横浜市中区常盤町３丁目２７－３ラパンビルディング３０１号室
TEL: 045-226-5182"
127,"株式会社　アカリエ
代表者: 佐藤　幸雄","〒224-0041
横浜市都筑区仲町台１丁目３２－４仲町台田中ビル３Ｂ号室
TEL: 045-944-0701"
128,"株式会社　アカルイミライ
代表者: 松本　明実","〒211-0063
川崎市中原区小杉町２丁目２２７－４オフィスム武蔵小杉３０２
TEL: 044-819-8550
HP: www.akaruimirai-kk.co.jp
Mail: info@akaruimirai-kk.co.jp"
129,"有限会社　あきつ
代表者: 増田　洋二","〒240-0053
横浜市保土ケ谷区新井町４０７番地マイムビル３階
TEL: 045-382-7070"
130,"株式会社　アキバ
代表者: 秋葉　能秀","〒222-0037
横浜市港北区大倉山３丁目1-3大和地所大倉山駅前ビル2階Ａ区画
TEL: 045-877-9517"
131,"株式会社　秋元エステート
代表者: 秋元　成藤","〒226-0014
横浜市緑区台村町５９２－１
TEL: 045-479-2318"
132,"秋元建物　有限会社
代表者: 秋元 広史","〒249-0004
逗子市沼間１丁目２―１６秋元第一ビル３Ｆ
TEL: 046-871-9188"
133,"空家買う株式会社
代表者: 内山　隼人","〒220-0003
横浜市西区楠町１４－５タイムズビル２Ｆ
TEL: 045-321-1156"
134,"アキヤマハウス２１
代表者: 秋山 双輔","〒238-0008
横須賀市大滝町２丁目１４秋山ビル２０１
TEL: 046-827-4900"
135,"株式会社アクア
代表者: 谷川　正純","〒212-0011
川崎市幸区幸町１丁目９９１番地
TEL: 044-541-5658"
136,"株式会社アクア
代表者: 伊藤　尊憲","〒220-0024
横浜市西区西平沼町４－１ヨコハマタワーリングスクエア１０２
TEL: 045-290-7525"
137,"株式会社アクアトゥエンティワン
代表者: 藤原　宏之","〒222-0037
横浜市港北区大倉山１丁目２－９
TEL: 045-533-3330"
138,"株式会社アクアトゥエンティワン
菊名駅前店
代表者: 藤原　宏之","〒222-0011
横浜市港北区菊名４丁目２－１渡辺ビル１Ｆ
TEL: 045-439-5515"
139,"株式会社アクアトゥエンティワン
元住吉店
代表者: 藤原　宏之","〒211-0025
川崎市中原区木月１丁目３５－７元住吉ＧＳビル１Ｆ
TEL: 044-431-2626"
140,"株式会社アクアトゥエンティワン
大倉山エルム通り店
代表者: 藤原　宏之","〒222-0037
横浜市港北区大倉山３丁目１－２６加藤ビル２階
TEL: 045-543-2766"
141,"株式会社アクアトゥエンティワン
日吉店
代表者: 藤原　宏之","〒223-0062
横浜市港北区日吉本町１丁目３－１日吉本町１丁目ビル１Ｆ
TEL: 045-560-5601"
142,"株式会社アクアトゥエンティワン
武蔵小杉店
代表者: 藤原　宏之","〒211-0063
川崎市中原区小杉町３丁目４３０－２０中村ビル４Ｆ
TEL: 044-739-8733"
143,"株式会社アクアトゥエンティワン
綱島店
代表者: 藤原　宏之","〒223-0052
横浜市港北区綱島東１丁目１－２０富貴桜ビル１階
TEL: 045-533-4330"
144,"株式会社　アクアプロパティ
代表者: 髙妻　康宏","〒227-0055
横浜市青葉区つつじが丘３６－１０第８進栄ビル３１３
TEL: 045-507-6042"
145,"株式会社アクアホーム
代表者: 百瀬　博士","〒220-0045
横浜市西区伊勢町１丁目１５－３染谷ビル１Ｆ
TEL: 045-260-5820"
146,"株式会社アクアライフ
代表者: 相原　一義","〒252-0826
藤沢市宮原１１７６番地１
TEL: 0466-52-6555"
147,"有限会社　アクアリージャ
代表者: 古海　宏典","〒212-0022
川崎市幸区神明町１丁目３５
TEL: 044-540-6961"
148,"株式会社　アクシャル
代表者: 村上　洋一郎","〒221-0835
横浜市神奈川区鶴屋町１丁目７－１９－５Ｆ
TEL: 045-315-0211"
149,"株式会社　アクシャル・パートナーズ
代表者: 村上　洋一郎","〒221-0835
横浜市神奈川区鶴屋町１丁目７－１９マルコシビル５階
TEL: 045-315-0221"
150,"株式会社　アクシャルプランニング
代表者: 玉川　富雄","〒221-0835
横浜市神奈川区鶴屋町２丁目２７－７－３０５
TEL: 045-594-7871"
151,"株式会社　アクシア
代表者: 山本　征彦","〒223-0062
横浜市港北区日吉本町１丁目１－１ＫＩＮＺＯＵビル３階
TEL: 045-566-7277"
152,"株式会社　アクシア
元住吉店
代表者: 山本　征彦","〒211-0025
川崎市中原区木月１丁目２２－５セキモトビル
TEL: 044-431-5027"
153,"アクシアパートナーズ　合同会社
代表者: 伊東　敏春","〒232-0066
横浜市南区六ツ川１丁目４０４
TEL: 045-567-1580"
154,"株式会社　アクシス
代表者: 上田　春生","〒240-0041
横浜市保土ケ谷区東川島町２－３－１０１
TEL: 045-744-5521
HP: www.axisinc.info
Mail: info@axisinc.info"
155,"株式会社アクシス横浜
代表者: 鈴木　裕介","〒235-0045
横浜市磯子区洋光台４丁目１３－２５
TEL: 045-352-7858"
156,"株式会社　アクセス・ワン
代表者: 中澤　久也","〒221-0825
横浜市神奈川区反町４丁目３０－１１
TEL: 045-317-3767"
157,"株式会社　アクセル
代表者: 小池　仁美","〒216-0011
川崎市宮前区犬蔵１丁目９－５
TEL: 044-978-6755"
158,"有限会社アクティブ
代表者: 池田　篤志","〒215-0017
川崎市麻生区王禅寺西５丁目４－１０サンパレス池田１０１
TEL: 044-986-1143
HP: https://active-web.jp/
Mail: info@active-web.jp"
159,"アクティブホーム　株式会社
代表者: 二村　智臣","〒241-0821
横浜市旭区二俣川２丁目１３－２７
TEL: 045-459-5551"
160,"アクティリビング　株式会社
湘南支店
代表者: 荒川　遼太","〒254-0045
平塚市見附町５－７藤和平塚コープⅡ　１階
TEL: 0463-26-7016"
161,"アクティリビング　株式会社
橋本支店
代表者: 荒川　遼太","〒252-0143
相模原市緑区橋本３丁目４－７サフランＢＬＤ１階
TEL: 042-703-6690"
162,"株式会社　アクトホーム
川崎西口店
代表者: 近藤　正文","〒212-0015
川崎市幸区柳町２－１グリーンハイツかえで
TEL: 044-200-4477"
163,"株式会社　アグリ農縁
代表者: 鈴木　勲","〒243-0014
厚木市旭町１丁目２４－１７
TEL: 046-280-5656"
164,"株式会社　アグリホーム
代表者: 柴田　吉司","〒215-0023
川崎市麻生区片平１７６０－１
TEL: 044-567-8011"
165,"株式会社　アコンプリッシュ
代表者: 宇渡　隆明","〒221-0835
横浜市神奈川区鶴屋町３丁目３４－６パイン２１ビル２Ｆ
TEL: 045-620-0684
Mail: accomplish0901gmail.com"
166,"朝香不動産　有限会社
代表者: 佐久間 友子","〒248-0016
鎌倉市長谷１丁目１１－２５
TEL: 0467-24-3456"
167,"株式会社浅川商事
代表者: 浅川 健二","〒246-0031
横浜市瀬谷区瀬谷１丁目２６－８
TEL: 045-303-3335"
168,"旭クリエート・バリュー　株式会社
代表者: 佐藤　務","〒224-0032
横浜市都筑区茅ケ崎中央９－１４港北セントアリーナ２０１
TEL: 045-479-9025"
169,"株式会社あさひハウジングセンター
代表者: 香山　裕司","〒220-0002
横浜市西区南軽井沢５番１号
TEL: 045-312-5050"
170,"株式会社あさひハウジングセンター
溝ノ口支店
代表者: 香山　裕司","〒213-0033
川崎市高津区下作延２丁目９番９号MSBビル３階
TEL: 044-750-7300"
171,"株式会社朝日ホーム
代表者: 朝倉　敬太","〒214-0014
川崎市多摩区登戸２０７４－１
TEL: 044-931-3338"
172,"株式会社　あさひホーム
代表者: 徳江　広志","〒224-0003
横浜市都筑区中川中央１丁目２３－２Ｉ・Ｆビル１Ｆ
TEL: 045-910-5566"
173,"合同会社　アサヒラフィネス
代表者: 旭　和則","〒223-0051
横浜市港北区箕輪町１丁目１０－２
TEL: 045-620-6127"
174,"朝日リビング　株式会社
横浜営業所
代表者: 田代　雅司","〒240-0013
横浜市保土ケ谷区帷子町２丁目４７第一斉藤ビル３０２
TEL: 045-337-2950"
175,"朝日リビング　株式会社
十日市場営業所
代表者: 田代　雅司","〒226-0025
横浜市緑区十日市場町８０５番地佐藤ビル２Ｆ
TEL: 045-983-3351"
