,name,details
20,"株式会社　池田建設
宇部店
代表者: 池田　直人","〒755-0065
宇部市浜町２丁目６－２
TEL: 0836-39-5517"
21,"株式会社　池田建設
周南店
代表者: 池田　直人","〒745-0006
周南市花畠町９－７
TEL: 0834-33-9949"
22,"株式会社　池田建設
下関店
代表者: 池田　直人","〒751-0847
下関市古屋町１丁目１２－１いえとち本舗
TEL: 083-242-2273"
23,"有限会社　いしかわ地所
代表者: 西村　實広","〒755-0051
宇部市上町２丁目１－１１
TEL: 0836-35-1265"
24,"有限会社　石川鉄工所
代表者: 石川　敬久","〒755-0007
宇部市八王子町１５番４５号
TEL: 0836-38-5158"
25,"石川木材　株式会社
代表者: 小林　美加子","〒751-0811
下関市藤ケ谷町９－１
TEL: 083-250-6301"
26,"株式会社　イシン
代表者: 日野原　勉","〒752-0973
下関市長府中之町３－１２
TEL: 083-245-7777"
27,"いとう不動産
代表者: 伊藤　博友","〒754-0002
山口市小郡下郷８４４－１３
TEL: 083-973-0101"
28,"有限会社　インターネットステーション
代表者: 與市園　一","〒751-0853
下関市川中豊町５丁目６番５号
TEL: 083-251-4850"
29,"株式会社　ウエストジャパンエステート
代表者: 亀山　将義","〒753-0211
山口市大内長野３９２－１
TEL: 083-941-2505"
30,"有限会社　内田不動産
代表者: 内田　健二","〒759-0206
宇部市大字東須恵７８６－１３
TEL: 0836-41-0222"
31,"宇部駅前不動産
代表者: 志田　ひとみ","〒759-0208
宇部市西宇部南４丁目５番２７号
TEL: 0836-45-0830"
32,"株式会社　ウベモク
代表者: 中尾　泰樹","〒755-0808
宇部市西平原３丁目２－２２
TEL: 0836-39-2415"
33,"株式会社　ウベモク
ピタットハウス宇部店
代表者: 中尾　泰樹","〒755-0066
宇部市小松原町２丁目５－５
TEL: 0836-21-2103"
34,"株式会社　Ａｃｅ
代表者: 大瀬良　拓冶","〒751-0828
下関市幡生町２丁目９－２
TEL: 083-255-1155
Mail: info@ace1155.co.jp"
35,"株式会社　エグザルテ
代表者: 貴船　純次","〒751-0805
下関市一の宮住吉２丁目９－１９アーデント住吉２番館１１０３
TEL: 083-257-0931"
36,"株式会社　エコハウス
代表者: 西村　和彦","〒755-0023
宇部市恩田町３丁目３－４０
TEL: 0836-35-7485"
37,"合同会社　エステートＭ
代表者: 立野　雅恵","〒751-0853
下関市川中豊町６丁目３番１６号
TEL: 083-271-4188"
38,"エスポワール不動産　株式会社
代表者: 竹升　博志","〒759-0204
宇部市大字妻崎開作８６－５
TEL: 0836-39-5907
HP: http://www.esp-0707.co.jp/
Mail: info@esp-0707.co.jp"
39,"エスラインズ
代表者: 磯部　諭史","〒751-0821
下関市三河町１１－１０
TEL: 083-255-0177"
40,"ＭＨＩファシリティーサービス　株式会社
下関営業所
代表者: 萩原　一郎","〒750-0075
下関市彦島江の浦町８丁目６－１０下関菱興ビル１階
TEL: 083-267-3901"
41,"株式会社　エムビーエス
代表者: 山本　貴士","〒755-0151
宇部市大字西岐波１１７３番地１６２
TEL: 0836-54-1414"
42,"合同会社　ｅｎライズ
代表者: 藤本　博美","〒751-0822
下関市宝町３番１７号203
TEL: 083-250-8773"
43,"合同会社　オッキー
代表者: 沖潮　宗男","〒750-0048
下関市東向山町１３－２６
TEL: 083-233-1310"
44,"大城不動産
代表者: 大城　満則","〒750-0064
下関市今浦町１０－８
TEL: 0832-32-8001"
45,"株式会社　大野
代表者: 大野　勝彦","〒753-0088
山口市中河原町３－１３ベルエール中河原１－Ａ
TEL: 083-922-5823"
46,"有限会社　岡﨑建設
代表者: 岡﨑　覚","〒759-6303
下関市豊浦町大字宇賀４８０７
TEL: 0837-76-0145"
47,"株式会社　尾﨑
代表者: 尾﨑　昭嗣","〒752-0974
下関市長府土居の内町１番３７号
TEL: 083-245-0634"
48,"オツジ建工　株式会社
代表者: 尾辻　剛","〒751-0873
下関市秋根西町２丁目８－２３
TEL: 083-242-2780
HP: https://otsujikenkou.com
Mail: relaxing_space@otsujikenkou.jp"
49,"オフィスＫ
代表者: 原田　和彦","〒746-0041
周南市社地町３－３
TEL: 0834-63-9115"
50,"オフィスシマ
代表者: 島　克子","〒752-0963
下関市長府中土居北町１－７　ＩＭビル１Ｆ
TEL: 0832-46-4569"
51,"かける不動産　株式会社
代表者: 髙嶋　雄一","〒752-0903
下関市員光町３丁目７番２８号
TEL: 083-248-5443"
52,"株式会社　風日工房
代表者: 中水　健吾","〒743-0004
光市室積市延４－３
TEL: 0833-79-3085"
53,"株式会社　樫迫
代表者: 樫迫　將人","〒741-0071
岩国市牛野谷町３丁目８３－１０
TEL: 0827-31-6121"
54,"合同会社　カズ
代表者: 津本　和浩","〒747-0825
防府市大字新田７７３番地の１徳正ビル３階南室
TEL: 0835-28-1997"
55,"片山土木工業
代表者: 片山　寛明","〒754-1277
山口市阿知須７１４３番地９
TEL: 0836-65-5488"
56,"株式会社　川上不動産
代表者: 堤　大樹","〒755-0084
宇部市大字川上５８２－２
TEL: 0836-39-6585
HP: http://second-stage.net/
Mail: info@second-stage.net"
57,"株式会社　川畑建設
代表者: 川畑　大樹","〒743-0061
光市大字小周防１５２３－１
TEL: 0833-76-1020"
58,"株式会社　環境企画設計
代表者: 今富　信之","〒751-0853
下関市川中豊町１丁目３番８号
TEL: 083-251-6125"
59,"株式会社　共創
代表者: 井ノ上　博行","〒745-0882
周南市大字徳山一ノ井手５５６０番地の２
TEL: 0834-32-3335
Mail: info@kyouso.jp"
60,"くぼた建設　株式会社
代表者: 久保田　雄三","〒751-0831
下関市大学町４丁目３－９
TEL: 083-250-9305"
61,"株式会社　クラシクリエイト
代表者: 久保　真紀子","〒755-0064
宇部市鍋倉町５－１５－１
TEL: 0836-37-2700"
62,"株式会社　クリヴィア
代表者: 廣谷　朋美","〒747-0845
防府市大字仁井令８００－１
TEL: 0835-28-3918
Mail: clivia@abox3.so-net.ne.jp"
63,"株式会社　宮六工務店
代表者: 宮﨑　謙二","〒754-0122
美祢市美東町真名４９５番３
TEL: 08396-5-5095"
64,"株式会社　グランツホールディングス
代表者: 藤村　篤司","〒751-0832
下関市生野町１丁目４番１５号一警ビル３０１号室
TEL: 083-250-6886"
65,"株式会社　京王
代表者: 髙冨　弘","〒751-0883
下関市大字田倉５３４－２
TEL: 0832-57-4530"
66,"有限会社　恵清ホーム
代表者: 住岡　達雄","〒759-6531
下関市吉見本町２丁目４－１６
TEL: 083-242-0662
HP: http://keiseihome.jp/
Mail: info@keiseihome.jp"
67,"有限会社　啓友不動産
代表者: 田中　哲夫","〒755-0033
宇部市琴芝町２丁目３－２４
TEL: 0836-36-2823
HP: http://www.mrdgold.com/keiyu/
Mail: keiyufu@lime.ocn.ne.jp"
68,"株式会社　ケイ・ワイ・プラン
代表者: 吉母　惠","〒752-0933
下関市長府松小田本町９－２
TEL: 083-250-7381"
69,"建和住宅　株式会社
代表者: 日髙　常晴","〒751-0851
下関市熊野西町６－６
TEL: 0832-53-2323"
70,"建和住宅　株式会社
山口営業所
代表者: 日髙　常晴","〒753-0813
山口市吉敷中東４丁目６－５
TEL: 083-941-6604"
71,"こうじゅんかん事務所
代表者: 本永　利文","〒754-0894
山口市佐山４５２１－１
TEL: 083-989-4833
Mail: kx388433@kf7.so-net.ne.jp"
72,"株式会社　小高工務店
代表者: 小高　章","〒759-0134
宇部市大字善和字打越１３０３番地
TEL: 0836-62-1626"
73,"株式会社　寿建設
代表者: 髙橋　良昌","〒756-0091
山陽小野田市日の出１丁目４－２
TEL: 0836-83-2709"
74,"株式会社　ＣＯＬｅ
代表者: 福田　誠人","〒745-0056
周南市新宿通６丁目１０番１３号
TEL: 0834-34-9845"
75,"コンダクト　株式会社
下関支店
代表者: 和田　克之","〒751-0832
下関市生野町２丁目１６－１７スターヒルズ１０３号室
TEL: 083-234-0888"
76,"西京ビルメンテナンス　株式会社
代表者: 木下　豊","〒751-0883
下関市大字田倉４１２－３
TEL: 083-237-0293"
77,"彩生不動産　株式会社
代表者: 植村　裕史","〒759-6613
下関市富任町１丁目４番３号
TEL: 083-242-5539
HP: http://saisay.co.jp/
Mail: info@saisay.co.jp"
78,"さくら地所　株式会社
代表者: 今川　藍","〒752-0962
下関市長府安養寺１丁目２－２３
TEL: 083-245-8300"
79,"株式会社　彩蔵不動産
代表者: 黒岩　さほ","〒751-0833
下関市武久町２丁目１－１５
TEL: 083-242-0117
HP: https://atbb.athome.co.jp/front-web/mainservlet/bfuk001s006
Mail: kuroiwa@sakura-hudousan.co.jp"
80,"株式会社　サダ技建
代表者: 佐田　誠二","〒754-0001
山口市小郡上郷１４９７番地６
TEL: 083-972-3300"
81,"株式会社　山興コーポレーション
代表者: 青木　順二","〒753-0871
山口市朝田５９７番地１ドミールＦ　Ａ２０２
TEL: 083-975-4113"
82,"株式会社　産建コーポレーション
代表者: 西村　浩典","〒755-0097
宇部市常盤台２丁目１５－６
TEL: 0836-39-5999
HP: http://www.sankenco.com
Mail: apa@sankenco.com"
83,"サンライズ　株式会社
代表者: 河口　昌子","〒759-4101
長門市東深川１３６８－１
TEL: 0837-23-0707
HP: https://www.sunrise-homes.co.jp/"
84,"三和地所　株式会社
代表者: 中部　修治","〒755-0067
宇部市大字小串７５７－１
TEL: 0836-21-5100"
85,"株式会社　ｔｈｅ　ＨＯＵＳＥ
代表者: 梅村　和利","〒743-0013
光市中央５丁目１番２０号
TEL: 0833-74-0303"
86,"秀栄地所
代表者: 児島　幸子","〒751-0859
下関市川中本町５－２
TEL: 083-253-7581"
87,"周南エステート
代表者: 池田　裕幸","〒744-0015
下松市大手町２丁目６－１６
TEL: 0833-48-8506"
88,"株式会社　ショウエイ
代表者: 浦野　幸司","〒751-0845
下関市新垢田北町６－２５
TEL: 0832-54-3000"
89,"有限会社　翔建設
代表者: 髙嶋　雄一","〒752-0903
下関市員光町３丁目７－２８
TEL: 083-248-5773"
90,"シバタ企画
代表者: 柴田　行夫","〒750-1146
下関市小月公園町２－１
TEL: 0832-83-2870"
91,"下関不動産買取センター　株式会社
代表者: 髙田　篤史","〒751-0817
下関市一の宮卸本町７番６号ハイアートビル新下関２階
TEL: 083-242-2103
HP: http://shimonoseki-kaitori.com/
Mail: lixilshop@shimonoseki-kaitori.com"
92,"株式会社　心輝
代表者: 片山　治幸","〒755-0072
宇部市中村３丁目８－２３
TEL: 0836-39-5000"
93,"新日本不動産　株式会社
代表者: 青木　伸一","〒750-1163
下関市清末千房３丁目６－１５
TEL: 083-282-2115"
94,"株式会社　ジェイ・エス・ビー・ネットワーク
山口大学前店
代表者: 今井　寛","〒753-0831
山口市平井６１１－１２
TEL: 083-942-0555"
95,"株式会社　ジャスティス
代表者: 藤野　司","〒742-1511
熊毛郡田布施町大字下田布施８６６番地３２
TEL: 0820-25-1779
HP: https://justice-re.jp/
Mail: info@justice-re.jp"
96,"株式会社　ジューケン
代表者: 新川　正信","〒742-1511
熊毛郡田布施町大字下田布施９１６－３
TEL: 0820-25-3088"
97,"株式会社　住宅工房
代表者: 三成　悟司","〒755-0091
宇部市大字上宇部２５４３－１
TEL: 0836-33-8663"
98,"合同会社　住宅サポート
代表者: 福田　基博","〒756-0091
山陽小野田市日の出１丁目３番９号
TEL: 0836-84-7112
HP: http://jyutakusapo.com/
Mail: honbu@rakuyori.com"
99,"合同会社　住宅サポート
大学支店
代表者: 福田　基博","〒755-0884
山陽小野田市大学通１丁目１－１山口東京理科大学６号棟内
TEL: 0836-84-0270"
100,"株式会社　樹工房
代表者: 竹内　秀樹","〒759-0207
宇部市大字際波３３７番地３
TEL: 0836-38-7300
HP: https://td-sanyouonoda.com"
101,"ジョイホーム　株式会社
代表者: 多久　清治","〒756-0824
山陽小野田市中央２丁目５－２３
TEL: 0836-84-8977"
102,"株式会社　ＧＯＤ
代表者: 長町　樹希","〒750-0016
下関市細江町１丁目１番１１号４階
TEL: 083-233-9666"
103,"株式会社　スクエアイノベーション
代表者: 古谷　一敏","〒753-0841
山口市吉田２７３９－１ロードＢ棟１０６
TEL: 083-901-0010"
104,"株式会社　住夢
代表者: 吉村　和幸","〒753-0048
山口市駅通り１丁目４－５
TEL: 083-933-0171"
105,"スリーステップ　株式会社
代表者: 山内　みのり","〒753-0214
山口市大内御堀３６５４番地１
TEL: 083-927-9222
HP: http://3step.community
Mail: three-step.20164@sweet.ocn.ne.jp"
106,"せいえい　株式会社
代表者: 清水　英樹","〒757-0001
山陽小野田市大字厚狭８７８－２
TEL: 0836-72-3088"
107,"西部工輸　株式会社
代表者: 青木　一志","〒751-0887
下関市大字小野４１６－１
TEL: 0832-56-1121
HP: seibuk.co.jp
Mail: info@seibuk.co.jp"
108,"西部都市開発
代表者: 吉坂　三典","〒750-0433
下関市豊田町大字大河内７８７
TEL: 083-766-1695"
109,"株式会社　セキジン
代表者: 安川　正泰","〒751-0865
下関市綾羅木新町１丁目９－４３
TEL: 083-253-4430"
110,"株式会社　セキワトランデック
代表者: 福田　敬彦","〒747-0063
防府市大字下右田４９６－８
TEL: 0835-22-9552
HP: http://www.s-torandekku.com
Mail: info@s-torandekku.com"
111,"総合建設　株式会社
代表者: 岩山　月出","〒753-0067
山口市赤妻町２０－１３ＤＳビル２階
TEL: 083-925-2500"
112,"株式会社　創和技建
代表者: 疋田　雅之","〒751-0841
下関市垢田町５丁目７－７
TEL: 083-251-6510"
113,"有限会社　ソレイユプランニング
代表者: 谷桐　伸二","〒752-0978
下関市長府侍町１丁目２－１
TEL: 0832-46-5338
HP: http://soleilplanning.com/
Mail: info@soleilplanning.com"
114,"太陽産業　株式会社
代表者: 杉山　和弘","〒756-0010
山陽小野田市新有帆町１９－１
TEL: 0836-83-3732"
115,"たかちほ不動産　株式会社
代表者: 岡部　正秀","〒756-0039
山陽小野田市大字千崎１１１番の１地
TEL: 0836-43-6183"
116,"株式会社　高月工務店
代表者: 高月　義夫","〒742-1504
熊毛郡田布施町大字川西１３６３番地１
TEL: 0820-52-1788"
117,"髙橋建設　株式会社
代表者: 髙橋　文男","〒755-0026
宇部市松山町１丁目７番２７号
TEL: 0836-34-1511"
118,"髙山産業　株式会社
代表者: 髙山　正樹","〒754-0512
美祢市秋芳町岩永本郷２９
TEL: 0837-62-0216"
119,"株式会社　ダンク・パートナー・システム
代表者: 角西　富男","〒743-0022
光市虹ケ浜３丁目５－１６
TEL: 0833-74-1877"
120,"株式会社　ダンク・パートナー・システム
岩国店
代表者: 角西　富男","〒740-0083
岩国市御庄１丁目１１６－１
TEL: 0827-45-2288"
121,"株式会社　ダンク・パートナー・システム
山口店
代表者: 角西　富男","〒753-0038
山口市石観音町４－２５
TEL: 083-934-6655"
122,"長府ライフパートナーズ　合同会社
代表者: 佐伯　勝志","〒752-0933
下関市長府松小田本町５番１６号
TEL: 083-248-3201
Mail: 2823138801@jcom.home.ne.jp"
123,"有限会社　地建リサーチ
代表者: 船越　径一郎","〒755-0096
宇部市開１丁目１３番８号
TEL: 0836-34-5525"
124,"有限会社　月星工業
代表者: 星本　正泰","〒759-6614
下関市梶栗町１丁目６－２４
TEL: 083-258-1438"
125,"株式会社　ＴＡＰ
代表者: 柴﨑　友宏","〒751-0851
下関市熊野西町６番６号
TEL: 083-227-4418"
126,"ＴＫＥ
代表者: 鳴本　聡宏","〒750-1114
下関市王喜本町４丁目２－２０
TEL: 0832-82-4070"
127,"鉄道用品　株式会社
代表者: 河東　利英","〒751-0822
下関市宝町３－３１
TEL: 083-252-8845
HP: http://tetsudo-yohin.com/
Mail: tetudou.kawatou＠mbn.nifty.com"
128,"株式会社　トータルクリエイト
代表者: 岡本　憲太郎","〒751-0826
下関市後田町３丁目１－４４
TEL: 083-250-7831"
129,"有限会社　東海コンサルティング
代表者: 大山　豊","〒756-0091
山陽小野田市日の出２丁目１０－４
TEL: 0836-84-5788"
130,"東建コーポレーション　株式会社
下関店
代表者: 左右田　稔","〒751-0805
下関市一の宮住吉３丁目６－４５
TEL: 083-263-1777"
131,"東建コーポレーション　株式会社
周南店
代表者: 左右田　稔","〒746-0012
周南市政所２丁目１０－６プリマヴェーラ
TEL: 0834-61-0700"
132,"株式会社　東昇
代表者: 東原　啓和","〒751-0849
下関市綾羅木本町６丁目８－１３
TEL: 0832-55-0578"
133,"株式会社　友田
代表者: 友田　幸","〒751-0820
下関市新椋野１丁目１番６号
TEL: 083-222-0033"
134,"豊田　有限会社
代表者: 豊田　和人","〒759-4102
長門市西深川２７７４－４
TEL: 0837-22-3962"
135,"株式会社　トラストエステート
代表者: 山下　晋吾","〒751-0873
下関市秋根西町１丁目２－１９－４０５
TEL: 083-265-9250"
136,"株式会社　ドリームホーム
岩国支店
代表者: 小林　勝行","〒740-0015
岩国市川口町１丁目６－１３陽明荘２Ｆ西側
TEL: 0827-21-1151"
137,"株式会社　中村商運
代表者: 中村　雅光","〒759-6301
下関市豊浦町大字川棚１４８０－２
TEL: 083-772-0555"
138,"株式会社　成匠
代表者: 山内　成人","〒753-0252
山口市大内中央２丁目１番３２号
TEL: 083-902-9440"
139,"株式会社　ニッポン不動産
代表者: 新道　洋志","〒750-0025
下関市竹崎町２丁目１３－１２
TEL: 083-227-2157"
140,"有限会社　ノーベル土地建物
代表者: 野津　博之","〒753-0067
山口市赤妻町２５番１６号
TEL: 0839-32-3961"
141,"有限会社　のぞみ
代表者: 森宗　良","〒751-0822
下関市宝町３７－１
TEL: 083-254-9229"
142,"株式会社　ハウスサポート
代表者: 大野　健二","〒755-0085
宇部市沼２丁目１２－２３
TEL: 0836-38-6066"
143,"株式会社　ハウスサポート
宇部厚南店
代表者: 大野　健二","〒759-0213
宇部市黒石北５丁目１番４１号
TEL: 0836-39-9314"
144,"はうすナビ不動産
代表者: 中野　陽子","〒755-0096
宇部市開４丁目１４番３７号
TEL: 0836-43-7405"
145,"株式会社　はなぎ
代表者: 松富　三","〒747-0044
防府市佐波２丁目１０－８
TEL: 0835-27-6282
HP: https://www.hanagi2008.com
Mail: hanagi4343@mbr.nifty.com"
146,"はまだ不動産株式会社
代表者: 濵田　美子","〒751-0826
下関市後田町５丁目１３－３
TEL: 083-242-1800"
147,"有限会社　ヒューマンライフ企画
代表者: 米森　勝哉","〒755-0092
宇部市上野中町１－１２
TEL: 0836-34-3404"
148,"株式会社　木冬妓
代表者: 若木　志朋","〒753-0056
山口市湯田温泉１丁目３－２２
TEL: 083-976-5229"
149,"ひかり不動産
代表者: 菅澤　孝充","〒743-0063
光市島田２丁目１１番６号原田第２ビル６号室
TEL: 0833-48-4330"
150,"株式会社　秀工業
代表者: 八木　秀次","〒755-0241
宇部市大字東岐波１８９０－４
TEL: 0836-38-8410
Mail: hidekougyou@eagle.ocn.ne.jp"
151,"株式会社　ひとまちライブラリー
代表者: 水野　智美","〒756-0841
山陽小野田市赤崎２丁目１－１０
TEL: 0836-43-9591"
152,"ヒライチハウス
代表者: 平岡　肇","〒742-0324
岩国市玖珂町７９５－９
TEL: 0827-28-5098"
153,"ひらど事務所
代表者: 平戸　武郎","〒753-0038
山口市石観音町４－２５ヒーロー２Ｆ
TEL: 083-921-8866
HP: http://hrd-office.sesh.estate/
Mail: hrd38-4410@almond.ocn.ne.jp"
154,"有限会社　広島中国土地
代表者: 道面　和敏","〒745-0641
周南市大字小松原１９０番地の１
TEL: 0833-91-0850"
155,"弘中不動産
代表者: 弘中　富士江","〒744-0012
下松市北斗町１－８
TEL: 0833-41-7110"
156,"ビルドヒューマン　株式会社
代表者: 光枝　郁夫","〒751-0822
下関市宝町１１－３２
TEL: 083-252-4788
Mail: headoffice@beauto-ube.jp"
157,"株式会社　Ｆａｉｔｈ
代表者: 井本　良太","〒750-0081
下関市彦島角倉町２丁目１－２新ダイワビル２０５号
TEL: 083-242-0097"
158,"株式会社　フォーティーン
代表者: 垰坂　仁","〒755-0066
宇部市小松原町１丁目６－２２３階Ｃ号
TEL: 0836-37-1414"
159,"フォトボーイ
代表者: 高木　健次","〒756-0091
山陽小野田市日の出１丁目１７９６番２２
TEL: 0836-84-7915"
160,"不動産情報ハウス
代表者: 矢野　利喜","〒755-0028
宇部市東本町１丁目９－７
TEL: 0836-37-0377"
161,"株式会社　不動産の杉山
代表者: 杉山　卓資","〒759-0203
宇部市大字中野開作３８２番地１
TEL: 0836-38-8083
HP: f-sugiyama.com
Mail: fudousannosugiyama@theia.ocn.ne.jp"
162,"不動産屋
代表者: 貞本　龍彦","〒746-0009
周南市川手２丁目７０１－４
TEL: 0834-63-3464"
163,"ふどうさん屋さん久良多
代表者: 倉田　良子","〒750-1142
下関市小月本町１丁目１番４号
TEL: 083-282-0781"
164,"株式会社　ホームガイド
代表者: 豊島　雅人","〒745-0056
周南市新宿通１丁目２２　高原ビル１階
TEL: 0834-22-5966"
165,"ほのぼの不動産
代表者: 野村　信幸","〒745-1131
周南市大字戸田１４０９－１５
TEL: 0834-83-3231
HP: http://honobono2103.com
Mail: heta@honobono2103.com"
166,"株式会社　マックス
代表者: 松田　雅幸","〒752-0933
下関市長府松小田本町9－3
TEL: 083-245-4680"
167,"前田産業　株式会社
代表者: 前田　吉孝","〒755-0032
宇部市寿町３丁目５－２３
TEL: 0836-21-8156"
168,"有限会社　松永土地建物事務所
代表者: 松永　秀治","〒755-0154
宇部市今村南２丁目１０－３６
TEL: 0836-51-7606
Mail: doragonv27@ybb.ne.jp"
169,"株式会社　マツモト
代表者: 松本　幸朗","〒759-0207
宇部市大字際波３３５－２エポックミハル１０５号
TEL: 0836-39-6816"
170,"有限会社　学興業
代表者: 伊藤　千絵","〒750-0084
下関市彦島向井町２丁目９番１２号
TEL: 083-267-2041"
171,"株式会社　マリフ不動産
代表者: 白木　秀夫","〒741-0072
岩国市平田４丁目１１－３６
TEL: 0827-32-1199"
172,"株式会社　マルセイ
代表者: 槌田　益己","〒755-0241
宇部市大字東岐波３８０５番地の１
TEL: 0836-58-5931"
173,"みとも　株式会社
代表者: 檜垣　幸夫","〒744-0032
下松市生野屋西１丁目５番１３号
TEL: 0833-43-0113
HP: http://www.hiraya1.jp
Mail: mitomo@hiraya1.jp"
174,"株式会社　ミトモ
代表者: 渡邉　勇一","〒755-0067
宇部市大字小串９１番地の２６
TEL: 0836-34-1162"
175,"みどり不動産
代表者: 田中　利市","〒755-0026
宇部市松山町５丁目８番３５号
TEL: 0836-33-3212"
176,"有限会社　ミヤモト
代表者: 宮本　清人","〒758-0063
萩市大字山田４０７４－４
TEL: 0838-25-2090"
177,"未来企画　株式会社
代表者: 末廣　純子","〒759-0204
宇部市大字妻崎開作８６番地５
TEL: 0836-44-6996"
178,"麦畑不動産
代表者: 宮﨑　厚子","〒752-0943
下関市長府豊城町８－１４
TEL: 083-277-0063"
179,"村田興産
代表者: 村田　義彦","〒751-0822
下関市宝町３－１７　ＹＬＣビル２Ｆ　２０１号
TEL: 083-250-3633"
180,"森下建設　株式会社
代表者: 森下　博幸","〒752-0943
下関市長府豊城町１２－５
TEL: 083-245-2127"
181,"株式会社　山倉商事
代表者: 吉本　勝治","〒745-0027
周南市糀町１丁目３番地和光レジデンス徳山１０２号
TEL: 0834-21-7111"
182,"山口県総合不動産　株式会社
代表者: 青木　一志","〒751-0887
下関市大字小野４１６－１
TEL: 0832-56-1101"
183,"特定非営利活動法人　山口住宅支援協会
代表者: 原田　浩二","〒753-0214
山口市大内御堀３６１７－１
TEL: 083-927-5360"
184,"有限会社　山口土地住宅
代表者: 木原　隆","〒755-0153
宇部市床波２丁目２－１４
TEL: 0836-51-7070"
185,"やまと不動産
代表者: 高野　一雄","〒740-0061
玖珂郡和木町和木５丁目１番４８号
TEL: 0827-53-2570
Mail: yamato_hudosan@yahoo.co.jp"
186,"山村産業　株式会社
代表者: 山村　節男","〒755-0021
宇部市常藤町４番３号
TEL: 0836-35-0012"
187,"株式会社　ユウエイ
代表者: 有道　典広","〒759-2212
美祢市大嶺町東分３１６５－４
TEL: 0837-52-9325"
188,"有限会社　優建設
代表者: 町田　諭彦","〒752-0915
下関市王司本町３丁目５番１１号
TEL: 083-249-2115"
189,"ゆうわ不動産　株式会社
代表者: 徳重　和美","〒755-0807
宇部市東平原２丁目１－３８
TEL: 0836-52-7750"
190,"有限会社　喜崇
代表者: 前田　耕作","〒751-0831
下関市大学町５丁目１０番７号
TEL: 083-250-9653"
191,"よつば地所　株式会社
代表者: 三牧　祐輔","〒745-0805
周南市大字櫛ヶ浜１０５
TEL: 0834-34-0670
HP: http://yotsuba-jisho.com/"
192,"株式会社　ＬＡＮＤサポート
代表者: 稲田　大志","〒744-0077
下松市中島町２丁目１番５号
TEL: 0833-44-7017"
193,"株式会社　ＬＥＡＤ
代表者: 水上　光枝","〒755-0037
宇部市西梶返２丁目２１－５０
TEL: 0836-39-8103
HP: http://www.lead-lead.com/
Mail: info@lead-lead.co.jp"
194,"リアネット　株式会社
代表者: 中下　泰行","〒742-1104
熊毛郡平生町大字宇佐木２６３－４
TEL: 0820-57-1030"
